name,price
گوشی موبایل نوکیا مدل 125-2020 دو سیم کارت - سفید - اصلی (وی دو سل-FA),"
                                        1,125
                                   
                                "
گوشی موبایل نوکیا مدل 125-2020 دو سیم کارت - مشکی - اصلی (وی دو سل-FA),"
                                        1,125
                                   
                                "
گوشی موبایل نوکیا مدل 2017-130- خاکستری - اصلی (فامتل-FA),"
                                        1,140
                                   
                                "
گوشی موبایل نوکیا مدل 2020-125 دو سیم کارت - سفید - اصلی (سامتل-FA),"
                                        1,147
                                   
                                "
گوشی موبایل نوکیا مدل 2020-125 دو سیم کارت - مشکی - اصلی (لیان همراه-FA),"
                                        1,160
                                   
                                "
گوشی موبایل نوکیا مدل 5310 TA-1212 DS دو سیم‌ کارت-سفید قرمز - اصلی (وی دو سل-FA),"
                                        1,779
                                   
                                "
گوشی موبایل نوکیا مدل 5310 TA-1212 DS دو سیم‌ کارت-مشکی قرمز - اصلی (وی دو سل-FA),"
                                        1,779
                                   
                                "
گوشی موبایل نوکیا مدل 5310 TA-1212 DS دو سیم‌ کارت - سفید (سامتل),"
                                        1,830
                                   
                                "
گوشی موبایل نوکیا مدل 3310 دو سیم کارت - سرمه ای (سامتل),"
                                        2,130
                                   
                                "
گوشی موبایل نوکیا مدل 3310 - آبی تیره - اصلی (لیان همراه-FA),"
                                        2,135
                                   
                                "
گوشی موبایل نوکیا مدل 3310 - سرمه ای - اصلی (فامتل-FA),"
                                        2,145
                                   
                                "
گوشی موبایل نوکیا مدل 8210 دو سیم کارت - آبی تیره - اصلی (وی دو سل-FA),"
                                        2,150
                                   
                                "
گوشی موبایل نوکیا مدل 8210 دو سیم کارت - شنی - اصلی (وی دو سل-FA),"
                                        2,150
                                   
                                "
گوشی موبایل نوکیا مدل 3310 - نوک مدادی - اصلی (وی دو سل-FA),"
                                        2,185
                                   
                                "
گوشی موبایل نوکیا مدل 3310 - سرمه ای - اصلی (وی دو سل-FA),"
                                        2,190
                                   
                                "
گوشی موبایل نوکیا مدل 6310 دو سیم کارت با ظرفیت 16MB - مشکی (وی دو سل),"
                                        2,190
                                   
                                "
گوشی موبایل نوکیا مدل 8210 دو سیم کارت - آبی تیره - اصلی (فامتل-FA),"
                                        2,250
                                   
                                "
گوشی موبایل نوکیا مدل 8210 دو سیم کارت - شنی - اصلی (فامتل-FA),"
                                        2,250
                                   
                                "
گوشی موبایل نوکیا مدل 2660 Flip دو سیم کارت - آبی - اصلی (وی دو سل-FA),"
                                        2,729
                                   
                                "
گوشی موبایل نوکیا مدل 2660 Flip دو سیم کارت - مشکی - اصلی (وی دو سل-FA),"
                                        2,729
                                   
                                "
گوشی موبایل نوکیا مدل Xpress Audio 5710 دو سیم کارت با ظرفیت 128MB - مشکی - اصلی (وی دو سل-FA),"
                                        2,789
                                   
                                "
گوشی موبایل نوکیا مدل Xpress Audio 5710 دو سیم کارت با ظرفیت 128MB - سفید - اصلی (فامتل-FA),"
                                        2,940
                                   
                                "
گوشی موبایل نوکیا مدل Xpress Audio 5710 دو سیم کارت با ظرفیت 128MB - مشکی - اصلی (فامتل-FA),"
                                        2,940
                                   
                                "
